ShareRaceByCity
Geographic area,City,Median Income,percent_completed_hs,poverty_rate,share_white,share_black,share_native_american,share_asian,share_hispanic
NM,Sandia Park CDP,28750,0,100,97,0.4,0.4,0.4,10.5
NM,San Felipe Pueblo CDP,10655,92.1,13.4,0.3,0,99.2,0,0.7
NM,San Fidel CDP,16023,72.2,19.9,33.3,0,22.5,0,59.4
NM,San Ildefonso Pueblo CDP,(X),85.6,13.8,11.3,0,62.2,0,31.9
NM,San Jon village,39975,93,11.4,83.8,0.5,4.6,2.8,31
NM,San Jose CDP (Rio Arriba County),46250,-,-,61.4,0.1,2.4,0.6,94.1
NM,San Jose CDP (San Miguel County),27500,88.1,55.4,66.4,1.5,1.5,0,84.7
NM,San Lorenzo CDP,42098,87.2,37.9,79.4,0,6.2,0,53.6
NM,San Luis CDP,25653,26.4,72.2,20.3,0,8.5,0,88.1
NM,San Mateo CDP,-,94.8,13.9,57.1,2.5,4.3,0,85.7
NM,San Miguel CDP,(X),80.3,22.1,74.7,0.2,0.8,0.3,89.9
NM,Sanostee CDP,-,96.3,27.4,0,0,99.7,0,0.8
NM,San Pablo CDP,-,82.1,22.1,67.2,0,1,0.2,73.6
NM,San Pedro CDP,81778,92.4,12.1,90.8,1.6,0.5,1.6,8.7
NM,San Rafael CDP,70221,68.1,32.1,54.8,0.4,2.3,0.5,72.3
NM,Santa Ana Pueblo CDP,(X),61.5,47.8,1.8,0,96.4,0,4.1
NM,Santa Clara village,102537,17.1,37.4,78.6,0.8,2.2,0.1,80
NM,Santa Clara Pueblo CDP,71779,81.3,0,10.3,0.3,77.5,0.3,23.6
NM,Santa Cruz CDP,53906,100,0,85.9,0.8,2.2,0,89.7
NM,Santa Fe city,48550,98.7,2.3,78.9,1,2.1,1.4,48.7
NM,Santa Rosa city,-,100,0,69.2,2.4,2,1.8,79.4
NM,Santa Teresa CDP,40938,72.9,15.6,82.6,1,1,0.3,76
NM,Santo Domingo Pueblo CDP,32500,99.3,3.2,0.3,0,98.7,0,1.1
NM,San Ysidro CDP,33333,99.3,11.6,80.1,0.8,1.4,0.4,52.6
NM,San Ysidro village,48750,100,38.1,36.8,0,15.5,0,60.6
NM,Sausal CDP,-,72.8,34.6,79.9,0.4,3.3,0.8,61.7
NM,Seama CDP,-,8.3,43.6,2.6,0,95.3,0,5.8
NM,Seboyeta CDP,48590,87.1,17.9,49.2,0,9.5,0,78.8
NM,Sedillo CDP,35669,69.6,32,85.5,0.2,0.6,1.5,24.2
NM,Sena CDP,20125,73.8,16.1,61.2,0,2.3,0,86.8
NM,Sheep Springs CDP,47550,68.8,0,0.4,0,96.7,0,0.8
NM,Shiprock CDP,59787,100,0,1.5,0.1,96.2,0.2,1.6
NM,Silver City town,69103,27.6,72.4,81.6,1.3,1.4,0.7,52.4
NM,Skyline-Ganipa CDP,46458,100,6.3,0.6,0.2,97.4,0,2
NM,Socorro city,21724,66.1,39.7,80.7,1.5,3.9,2.1,54
NM,Soham CDP,35417,67.7,43.2,56.7,0,1.4,0,87.6
NM,Sombrillo CDP,14167,76.2,15.8,79.2,0.6,2,5.1,50.4
NM,South Acomita Village CDP,50737,100,0,0,0,97.1,0,2.9
NM,South Valley CDP,30563,81.1,2.3,59.5,1.2,2.2,0.4,80.2
NM,Spencerville CDP,42978,93.6,14.9,83.2,0.6,5.6,0.2,19.9
NM,Springer town,33194,72.8,31.8,77.4,0.2,1,0.4,64.8
NM,Sunland Park city,31458,89.1,27.8,74.3,0.6,0.5,0.2,95.2
NM,Sunshine CDP,23438,69,57.3,88.6,1.4,0.5,0.2,23.3
NM,Tajique CDP,34853,85.7,17.6,40.8,0,1.5,0,76.2
NM,Talpa CDP,24722,75.2,19.2,61.3,0.6,1.2,0.3,74.7
NM,Taos town,-,80.8,30.9,71.1,0.7,5.3,1,51.9
NM,Taos Pueblo CDP,78250,71.3,39.6,4.1,0.1,93,0,5.6
NM,Taos Ski Valley village,(X),59.5,38.9,89.9,0,0,0,24.6
NM,Tatum town,18125,82.4,23.2,80.2,1.4,0.9,0.9,44.2
NM,Tecolote CDP,32324,82,36.1,70.8,0,1.7,0.3,92.6
NM,Tecolotito CDP,36227,97.2,18.3,69.4,0,0,0,91.8
NM,Tesuque CDP,34028,100,11.1,89.3,0.3,0.9,0.8,27.2
NM,Tesuque Pueblo CDP,33359,98.9,12.5,1.7,0,97.4,0,7.7
NM,Texico city,(X),64.8,24.2,52.6,4.7,1.5,0.1,55.9
NM,Thoreau CDP,(X),82.9,38.6,15.4,0.3,79.8,0.1,7.9
NM,Tierra Amarilla CDP,(X),85,34.2,65.7,1,1,0.3,92.7
NM,Tijeras village,34357,81.9,28,75.8,0.7,1.5,0.4,50.6
NM,Timberon CDP,51397,88.2,35.1,91.7,0,0.6,0.9,15.2
NM,Tohatchi CDP,31250,72.1,30.2,5.6,0,87.9,5.1,2
NM,Tome CDP,28047,54.3,14.1,76.6,0.6,1.8,0.5,64
NM,Torreon CDP (Sandoval County),(X),96.6,12.1,4,0,92.9,0,2.5
NM,Torreon CDP (Torrance County),-,90.2,18.1,61.6,0.4,0.8,0,72.2
NM,Trout Valley CDP,26500,70.8,29.4,100,0,0,0,6.3
NM,Truchas CDP,31112,77.9,11.4,58.2,0.4,1.3,0,86.1
NM,Truth or Consequences city,29716,93.2,29.8,85.7,0.6,1.9,0.5,28.2
NM,Tse Bonito CDP,(X),54.4,37.1,19.4,0,76.6,0,7.4
NM,Tucumcari city,45313,100,6.5,81.4,1.7,1.2,1.2,57.4
NM,Tularosa village,9110,0,100,72.4,0.6,6.2,0.4,53.9
NM,Twin Forks CDP,(X),94.6,49.1,96.4,0,0.5,0,6.6
NM,Twin Lakes CDP,67083,88.5,21.8,0.4,0,98.8,0,1
NM,Tyrone CDP,40000,92.6,21.2,95,0.6,0.3,0.5,43.5
NM,University Park CDP,32188,98.8,33.9,69.1,4.7,5.8,6.3,39.6
NM,Upper Fruitland CDP,21389,65.9,21.7,1,0,95.6,0,3.9
NM,Ute Park CDP,(X),23.3,79.2,84.5,0,1.4,0,26.8
NM,Vadito CDP,72031,15.5,92.7,60,0,0.7,0,92.2
NM,Vado CDP,(X),94.4,14,61.1,0.9,0.7,0.2,95.5
NM,Valencia CDP,39375,76.5,19.6,72.4,0.8,4.4,1.1,56.2
NM,Vaughn town,31685,70.4,30.9,68.2,1.6,1.3,0,86.3
NM,Veguita CDP,21667,74.6,33.6,78.9,0,2.2,0,74.6
NM,Velarde CDP,(X),82.7,15.9,61.2,0,3.6,0,84.9
NM,Ventura CDP,-,89.1,7,81.6,0.2,0.9,0.4,36.5
NM,Villanueva CDP,51964,89.6,51.8,52.4,0,3.5,0,89.5
NM,Virden village,26877,80.7,17.5,92.8,0,0,0.7,21.7
NM,Wagon Mound village,(X),91.3,26.3,77.7,0.6,2.2,0,84.4
NM,Waterflow CDP,24891,68.7,60.2,48.4,0.7,44.5,0.2,10.2
NM,Watrous CDP,30000,100,52.2,85.2,0,3,0,83.7
NM,Weed CDP,(X),-,-,95.2,1.6,0,1.6,0
NM,West Hammond CDP,16563,94.4,3.9,72.8,0.8,14.3,0.1,26.2
NM,White Rock CDP,41131,82.2,25.9,92.1,0.5,0.6,3.5,13.9
NM,White Sands CDP,12344,95.8,9.7,71.2,12.4,1.2,2.7,18.7
NM,Whites City CDP,45962,81.3,22.8,100,0,0,0,71.4
NM,White Signal CDP,(X),81.7,16.2,95,1.1,0.6,0,15.5
NM,Willard village,27083,100,0,70,1.2,0.4,0.8,81.8
NM,Williamsburg village,24938,78.1,51.5,92.4,0,2.2,0,23.8
NM,Windmill CDP,33106,90,16.3,86,0,2.3,0,41.9
NM,Winston CDP,31406,100,70.8,90.2,0,8.2,0,32.8
NM,Yah-ta-hey CDP,38088,77.8,27.4,11.4,0.3,75.4,0,13.4
NM,Young Place CDP,(X),100,69,71.1,0,8.6,1.1,32.6
NM,Youngsville CDP,29281,80.6,33.2,71.4,0,0,0,89.3
NM,Zia Pueblo CDP,(X),51.3,53.1,0.1,0,99.5,0,2
NM,Zuni Pueblo CDP,39375,80.5,32.1,1.1,0.1,97.1,0.3,2.6
NY,Accord CDP,26429,81.5,14.6,91.3,2.7,1.1,0.9,7.1
NY,Adams village,61250,100,0,97.4,0.7,0.1,0.5,0.7
NY,Adams Center CDP,-,100,12.7,95.5,1.5,0.1,0.4,1.3
NY,Addison village,-,72.4,25.7,96.9,0.5,0.2,0.7,1.8
NY,Afton village,58990,70.5,49.6,98.3,0.2,0,0.7,3.6
NY,Airmont village,107688,91.4,0,86.3,4.6,0.3,5,8.2
NY,Akron village,45046,68.5,32.5,96.3,0.5,1.5,0.3,1.3
NY,Albany city,-,86.6,17.4,57,30.8,0.3,5,8.6
NY,Albertson CDP,63788,-,-,70.4,0.3,0.1,24.3,7.3
NY,Albion village,20625,67.4,0,83.7,9.2,0.5,0.7,6.3
NY,Alden village,22000,86.3,5.1,97.4,0.5,0.3,1.2,0.5
NY,Alexander village,(X),98.2,2.6,97.1,0.2,0,1.2,1.2
NY,Alexandria Bay village,-,99.6,6.8,96.7,0.9,0.2,0.6,2.8
NY,Alfred village,(X),100,0,84.2,7.1,0.2,4.6,4.4
NY,Allegany village,(X),98,4.3,96.1,0.2,0.1,2.2,2
NY,Almond village,21250,76.3,33.5,97.4,0,0,0.6,1.5
NY,Altamont village,40000,91.7,39.1,96.5,0.7,0.2,1.3,2.2
NY,Altmar village,35752,100,33.3,96.3,1,0.5,0,1.2
NY,Altona CDP,112083,55,0,63.4,32.9,0.5,0.4,9.9
NY,Amagansett CDP,40341,83.2,44.4,92.3,1.1,0.2,1.9,10.2
NY,Amenia CDP,33849,100,25,88,3.7,0.6,1.5,13.9
NY,Ames village,49821,51.7,48.3,99.3,0,0,0,1.4
NY,Amityville village,41042,84.5,25.4,81.7,9.7,0.3,1.8,13.1
NY,Amsterdam city,91458,72.4,37.5,80.4,3.8,0.6,0.9,26.2
NY,Andes CDP,47311,93,6,96.4,0.8,0.4,0.8,6
NY,Andover village,40949,91.4,18,97.7,0.3,0.1,0.1,1.3
NY,Angelica village,108750,88.7,14,97.9,0,0.3,1.2,0.7
NY,Angola village,24205,92.6,13.5,95,0.6,2.1,0.1,3
NY,Angola on the Lake CDP,52005,85.3,18.4,96.9,0.5,1.4,0.1,1.4
NY,Antwerp village,56250,89,8.4,94.6,1.7,0.3,0,3.1
NY,Apalachin CDP,40156,93.7,4.9,97.2,0.3,0.1,0.6,1.1
NY,Aquebogue CDP,25469,89.6,26.8,90.7,4.2,0,0.2,11.9
NY,Arcade village,48750,93.1,2.8,97.4,0.3,0.3,0.3,1.2
NY,Ardsley village,48864,75.2,29.7,77.9,2.4,0,16.8,6.5
NY,Argyle village,80078,96.2,11.2,98.4,0,0.7,0,0.3
NY,Arkport village,27386,94.5,6.7,98.6,0.1,0.1,0.5,0.4
NY,Arlington CDP,31900,86.6,17.8,63.4,16.4,0.9,8.1,14.1
NY,Armonk CDP,93750,99.4,40.5,92.7,0.7,0,4.7,5.1
NY,Asharoken village,58200,98.1,26.9,95.9,0.2,0.2,2,3.1
NY,Athens village,61667,95.8,20.7,95.9,1.9,0,0.4,4
NY,Atlantic Beach village,83125,97.5,6.6,96.6,0.6,0,1,3.9
NY,Attica village,33917,75.5,44.9,96.5,0.5,0.2,0.5,1.7
NY,Auburn city,46250,69.8,20.9,86.3,8.5,0.4,0.6,3.6
NY,Aurora village,48438,96.6,2.6,91,3.3,0.1,1.8,5.7
NY,Au Sable Forks CDP,45417,91.2,2.9,98.9,0,0.2,0,0
NY,Averill Park CDP,52950,77.8,0,97.2,0.6,0,0.6,2.1
NY,Avoca village,40833,92.2,10.9,96.5,0.6,0.2,0.1,3.5
NY,Avon village,50139,80.1,28,95.5,1.3,0.3,0.8,2.1
NY,Babylon village,51856,90.8,24.7,91.9,2,0.1,2.2,6.7
NY,Bainbridge village,90847,94.3,9.5,97.7,0.2,0.1,0.3,2.4
NY,Baiting Hollow CDP,39205,93.4,12.2,96.8,0.9,0.1,0.7,6
NY,Baldwin CDP,141447,90.1,11.2,48.8,34.6,0.4,4.2,20.2
NY,Baldwin Harbor CDP,53500,90.3,7.6,61.3,26.6,0.1,4.9,11.8
NY,Baldwinsville village,48438,87,9.1,95.9,0.9,0.5,0.9,1.8
NY,Ballston Spa village,42208,92.7,1.4,93.9,1.2,0.2,1,3.2
NY,Balmville CDP,183036,96.6,0.3,73.1,15.9,0.3,2.6,14.4
NY,Bardonia CDP,153750,87.9,21,84.3,2.1,0.1,10.8,6.6
NY,Barker village,47173,94,1.6,97.2,0.2,0.9,0,7.1
NY,Barneveld village,110714,92.4,6.1,97.9,0.4,1.1,0.4,2.5
NY,Barnum Island CDP,54265,93,4.6,87,1.7,0.2,2.7,15.6
NY,Batavia city,39438,89.7,19.1,89.4,5.4,0.4,0.8,3
NY,Bath village,70833,97.5,1.9,93.7,3,0.3,0.6,1.3
NY,Baxter Estates village,45625,100,3.9,81.1,1.3,0.5,6,16.8
NY,Bay Park CDP,73261,84.6,16.3,96.2,0.3,0,1.7,6.4
NY,Bayport CDP,47788,97.3,3.2,94.6,1.4,0.1,1.7,5.3
NY,Bay Shore CDP,60688,90.7,10.4,61,19.6,0.7,3.2,30.8
NY,Bayville village,100025,84.4,17.9,95,0.3,0.4,1.7,6.5
NY,Baywood CDP,44402,92.8,2.9,63.8,14.8,0.8,4,34.7
NY,Beacon city,83380,81.8,11.6,63.6,23.2,0.3,1.6,20.7
NY,Beaver Dam Lake CDP,91462,97.8,1.6,91.3,3.2,0.3,1.5,11.2
NY,Bedford CDP,102469,94.4,16.9,93.9,0.9,0.1,2.8,7.3
NY,Bedford Hills CDP,47431,94.7,11.6,73.6,4.9,0.4,4.7,33.9
NY,Belfast CDP,60989,95.8,4.6,95.9,0.7,0.2,1.1,0.7
NY,Bellerose village,63750,88.6,16.1,87.1,3.5,0.3,4.4,9.5
NY,Bellerose Terrace CDP,115927,94.3,3,49.5,8.4,0.1,28.1,25.8
NY,Belle Terre village,41458,89.5,9.7,92.6,1.3,0.1,3.3,3.9
NY,Belleville CDP,57292,95.3,4.9,99.1,0,0,0.4,1.8
NY,Bellmore CDP,95375,92,9,93.4,1,0.1,3,5.7
NY,Bellport village,41584,96.2,7.7,94.2,1.7,0.4,1.3,4.2
NY,Belmont village,38266,95.2,7.5,96.8,0.6,0.5,0.1,1.1
NY,Bemus Point village,114107,95.6,2.1,96.4,0,0,2.2,0.3
NY,Bergen village,78333,91.4,13.1,96.5,0.3,0,0.9,2.2
NY,Bethpage CDP,81955,97.7,10.9,90.8,0.6,0.1,5.5,7
NY,Big Flats CDP,70229,80.9,5.9,94.1,1.5,0.2,2.9,1.2
NY,Billington Heights CDP,101221,89.7,22.8,98.2,0.1,0.1,0.6,0.7
NY,Binghamton city,74609,89.5,18.7,77.6,11.4,0.3,4.2,6.4
NY,Binghamton University CDP,65305,94.6,2.9,65.5,7.5,0.1,20.8,8.9
NY,Black River village,106138,97,1.2,89.6,4.4,0.2,1.9,3.5
NY,Blasdell village,188705,95,6.4,95.7,1.4,0.4,0.4,3.7
NY,Blauvelt CDP,42155,83.1,9.5,84.8,2.6,0.2,6.7,10.8
NY,Bliss CDP,35078,95.5,5.7,97.9,1.5,0,0.2,1.1
NY,Blodgett Mills CDP,177500,86.7,7.3,99,0,0.7,0,0.7
NY,Bloomfield village,96538,89.3,11.6,95.6,1,1,0.2,2.1
NY,Bloomingburg village,204750,100,5.7,84.3,4.5,0.5,1,13.3
NY,Bloomville CDP,28784,96.6,3,96.2,0.9,0.5,0.5,2.3
NY,Blue Point CDP,114474,73.1,11.3,95.3,0.8,0.2,1.7,4.2
NY,Bohemia CDP,82500,87.9,14.9,93.9,1,0.1,2.3,7.1
NY,Bolivar village,40000,96.4,2.7,97.6,1.1,0.4,0.3,1.1
NY,Bolton Landing CDP,36477,93.9,2.3,95.5,0.2,0.2,0.4,4.1
NY,Boonville village,60313,99.2,5.2,99.2,0,0.3,0,0.9
NY,Brasher Falls CDP,99423,83.6,45.6,96,0.1,0.7,0.3,1.8
NY,Breesport CDP,65269,94.8,1.9,97.3,0.3,1,0.5,1.8
NY,Brentwood CDP,84091,97.4,4.4,48.4,16.4,1.2,2,68.5
NY,Brewerton CDP,29824,93.2,14.4,95.3,1.3,0.6,0.8,1.5
NY,Brewster village,-,93.6,18.2,75.7,2.9,0.6,3.4,56
NY,Brewster Hill CDP,60000,96.6,10.6,92,2,0,2.2,11.6
NY,Briarcliff Manor village,41520,92.9,2.8,86.4,3.4,0.1,6.9,5.3
NY,Bridgehampton CDP,118929,96.7,5.5,76.3,13.4,0.3,1.2,14.6
NY,Bridgeport CDP,60469,95.4,2.2,95.3,1.3,0.7,0.8,1.1
NY,Bridgewater village,51771,84.4,33.9,96.8,0.2,0.2,0.6,3
NY,Brighton CDP,55298,100,-,79.8,5.1,0.1,11.8,3.3
NY,Brightwaters village,45417,95.1,9.8,94.3,1.5,0,1.6,5.1
NY,Brinckerhoff CDP,63393,92,16.3,86.5,5.6,0.1,3.9,10.8
NY,Broadalbin village,108704,93.4,4,95.8,1.5,0,0.9,1.9
NY,Brockport village,82011,92.2,15,91.7,3.8,0.3,1.3,3.8
NY,Brocton village,41042,82,0,96.1,0.2,0.8,0.2,4.8
NY,Bronxville village,90000,96,16.9,90.3,1.4,0,5.2,4.4
NY,Brookhaven CDP,32500,88,16.8,89.3,6.6,0.1,0.7,6.1
NY,Brookville village,54120,89,8.1,75.6,11.5,0.2,10.3,6.3
NY,Brownville village,57750,97.5,4.5,97.6,0.4,0.3,0.7,1.3
NY,Brushton village,70139,92,5.9,96.8,0,1.5,0,0.6
NY,Buchanan village,57708,87.3,13.8,90.2,3.1,0,1.5,16
NY,Buffalo city,49917,100,1.4,50.4,38.6,0.8,3.2,10.5
NY,Burdett village,90909,87.9,19.4,96.2,0.9,0.3,0.3,0.9
NY,Burke village,141170,95.3,12.2,96.7,0,0,0,3.3
NY,Busti CDP,77174,96.7,4.3,95.4,1,1.3,0.8,0.8
NY,Byersville CDP,47038,70.8,11.6,93.6,2.1,0,0,0
NY,Cairo CDP,41250,92.1,21,93.1,1.8,0.4,0.8,6.3
NY,Calcium CDP,66149,63.6,19.7,73,13.9,0.7,2.1,13.9
NY,Caledonia village,122692,92.1,1.2,94.1,3.4,0,0.7,1.4
NY,Callicoon CDP,95388,95.5,2.2,97.6,0.6,0,0.6,8.4
NY,Calverton CDP,56439,93.8,2.8,87.2,8,0.2,0.9,7
NY,Cambridge village,41493,83.4,16.4,96.1,1.1,0.1,0.9,1.3
NY,Camden village,38438,86.4,20.7,97.8,0.4,0.3,0.3,0.7
NY,Camillus village,198839,94.4,9.5,94.2,3.5,0.4,0.2,1.8
NY,Campbell CDP,90833,98.6,1.7,97.2,0.1,0,0.1,0.7
NY,Canajoharie village,214167,94.6,6.2,95,2.2,0.4,0.6,2.3
NY,Canandaigua city,52614,91.6,12.2,95.1,1.8,0.3,0.7,2
NY,Canaseraga village,42500,92.9,28.9,97.5,0.2,0.5,0,1.3
NY,Canastota village,97935,85.9,18.7,95.9,1,0.5,0.5,2
NY,Candor village,31918,98.7,3,97.3,0.8,0.1,0,1.6
NY,Canisteo village,47500,88.4,8.7,98.5,0.5,0.1,0.4,1.1
NY,Canton village,38750,97.9,2.1,88,6.2,0.5,1.9,4.4
NY,Cape Vincent village,59861,89.7,9,97.4,0.4,0,0,2.3
NY,Carle Place CDP,53611,86.7,28.5,84.2,2.1,0.1,7.9,11.1
NY,Carmel Hamlet CDP,23883,92.5,5.5,90.3,3,0.2,1.9,13.1
NY,Caroga Lake CDP,48398,82.7,31.4,97.9,0,0.2,0.4,0.2
NY,Carthage village,51481,91.9,13.1,90,3.8,0.5,1.6,4.6
NY,Cassadaga village,39063,89,16,98.3,0.2,0.2,0.3,0.8
NY,Castile village,46176,87.8,8.3,98.6,0.3,0.2,0.2,1.3
NY,Castleton-on-Hudson village,43750,87.3,63.4,97,1.3,0,0.3,2.6
NY,Castorland village,35926,69.6,31.5,98,0.6,0,0.3,2.8
NY,Cato village,49688,88.9,6.8,96.4,0,0.2,0,1.3
NY,Catskill village,40313,93.7,9,78.6,12.4,0.6,1.3,9
NY,Cattaraugus village,45455,98.5,0,98.4,0.3,0.7,0,1.9
NY,Cayuga village,43185,89.9,6.3,97.1,0.9,0.2,0.2,0.2
NY,Cayuga Heights village,29875,86.3,16.1,79.5,2.1,0.1,14.7,4.7
NY,Cazenovia village,47431,88.1,20.6,94.8,1.9,0.3,1.1,3
NY,Cedarhurst village,50417,96.9,10.1,87.8,2.2,0,3.6,10.7
NY,Celoron village,42422,92.1,11.1,95.9,0.8,0.2,0.5,2.9
NY,Centereach CDP,48988,85.2,20.9,85.4,3.1,0.1,6.2,11.3
NY,Center Moriches CDP,47188,93.8,15.4,89.5,3.5,0.2,1.4,10.2
NY,Centerport CDP,98269,87.3,29.7,96.3,0.5,0.1,1.9,3.5
NY,Central Bridge CDP,83636,94.3,16.2,97.5,0.5,0,0.5,1.3
NY,Central Islip CDP,45083,90.7,15.6,43.6,25,0.9,3.4,52.1
NY,Central Square village,42587,91.3,16.4,97.7,0.1,0.5,0.5,1.2
NY,Centre Island village,52917,90.6,19.6,93.9,0,0,3.7,7.3
NY,Chadwicks CDP,47045,95.6,6.5,96.9,0.9,0.3,0.6,3.7
NY,Champlain village,68375,86.8,9.1,96.3,0.2,0.3,1.4,2.5
NY,Chappaqua CDP,45000,86.1,5.6,81.7,1.9,0,12.5,7.8
NY,Chateaugay village,47083,97.5,7.1,98.3,0.2,0.2,0.1,0.7
NY,Chatham village,36442,85.3,27.7,88.8,3.4,0.3,2,5
NY,Chaumont village,41429,91.9,9.3,96.8,0.5,0,0.5,1.1
NY,Chautauqua CDP,50536,91,18.8,99.5,0,0,0.5,1
NY,Chazy CDP,78285,91.4,4.3,96.6,0.9,0,0.5,1.1
NY,Cheektowaga CDP,56696,88.4,15.2,86.8,9.2,0.3,1.7,2.2
NY,Chenango Bridge CDP,88913,93.9,10.4,96.3,0.8,0.3,1,1.1
NY,Cherry Creek village,42500,96.2,19.4,98.3,0.2,0,0.4,2.6
NY,Cherry Valley village,94432,90.2,19.2,96.2,1.2,0.6,0,1
NY,Chester village,89037,93.6,2.4,69.8,11.8,0.6,6.2,17.6
NY,Chestertown CDP,103945,97.5,8.3,97,0.6,0.1,0.1,4.4
NY,Chestnut Ridge village,31346,93.8,11,68.7,17.5,0.1,8.1,11.1
NY,Chittenango village,66430,95.3,6.3,96.2,1.1,0.7,0.5,1.8
NY,Churchville village,45240,81.6,15.1,95.7,1.3,0.2,1.1,1.7
NY,Clarence CDP,144375,93,5.3,98,0.5,0.2,0.8,0.8
NY,Clarence Center CDP,37833,91.1,2.5,94.6,1.1,0.1,2.4,1.2
NY,Clark Mills CDP,42054,97.6,3.2,94.7,1,0.3,1.5,1.8
NY,Clarkson CDP,113300,83.2,27,92.8,2.4,0.4,1.4,3
NY,Claverack-Red Mills CDP,40500,71,13.1,95.9,1.9,0.1,0.7,1.4
NY,Clayton village,46188,89,14.7,95.6,1.7,0.5,0.3,2.9
NY,Clayville village,49688,97.9,3.1,96.9,1.7,0,0.3,0.6
NY,Cleveland village,95333,87.4,8.6,97.2,0.4,0.7,0.9,1.2
NY,Clifton Springs village,49028,86.9,17.7,96.3,0.9,0,1,2.4
NY,Clinton village,48508,96.1,3.3,95.4,0.9,0.2,2.1,1.6
NY,Clintondale CDP,71645,87.1,27.3,89.5,3.6,0.1,2.3,8.3
NY,Clyde village,40000,88.9,13.2,90.2,4.5,0.2,0.5,4
NY,Cobleskill village,55556,91.2,6.8,90.2,4.2,0.3,1.9,4.7
NY,Cohocton village,62929,96.5,5.3,96.8,0.4,0.1,0.1,1.3
NY,Cohoes city,46761,94.1,10,90.2,4.7,0.2,0.9,3.7
NY,Cold Brook village,89813,90.3,11.4,99.1,0,0,0,0.6
NY,Cold Spring village,62902,94.7,5.8,93.2,0.7,0.3,2,5.8
NY,Cold Spring Harbor CDP,59000,86.2,17.7,95.4,0.7,0,2.3,3.8
NY,Colonie village,69821,90.6,15.1,86.7,4.6,0.1,6.5,2.6
NY,Colton CDP,111250,92.1,8.8,96.5,0.3,0.6,2,0.9
NY,Commack CDP,52222,92.9,13.2,91.6,0.9,0.1,5.4,4.8
NY,Conesus Hamlet CDP,58700,92.1,8.5,95.8,1.9,0,0.3,1.9
NY,Conesus Lake CDP,87404,91.7,5.2,97.3,0.4,0.4,0.9,0.8
NY,Congers CDP,50049,96.2,6.4,80.4,3.3,0.4,11.7,11.4
NY,Constableville village,44167,94.2,12,98.8,0,0.4,0,0.4
NY,Constantia CDP,43438,98.8,0.7,97.8,0.1,0.7,0.2,0.7
NY,Coopers Plains CDP,47868,93.1,19,97,1.2,0.2,0,1.2
NY,Cooperstown village,54813,92.5,12.1,94,0.4,0.1,4.2,3.1
NY,Copake Lake CDP,52726,88.5,0,97.6,0.5,0.4,0.4,2.8
NY,Copenhagen village,43400,92.1,11.5,96.4,0.9,0.2,0.9,2.2
NY,Copiague CDP,36824,85.7,11.3,73.5,7.6,0.3,2.2,32.7
NY,Coram CDP,39531,87.8,22.3,77.4,10.6,0.2,5,13.6
NY,Corfu village,46226,88.8,11.7,97.5,0.7,0,0.3,2
NY,Corinth village,38125,97.5,11,96.1,0.5,0.2,0.7,1.3
NY,Corning city,83125,89.3,11.3,91.8,3.2,0.3,1.8,2.4
NY,Cornwall-on-Hudson village,157143,85.3,19.1,94.2,1.1,0.1,1.7,5.7
NY,Cortland city,78263,87.2,21.2,92.8,2.8,0.2,0.9,3.2
NY,Cortland West CDP,44559,85.2,26.2,95.7,0.4,0.4,1.8,1.4
NY,Country Knolls CDP,114463,87.3,17.4,95.2,0.6,0,2,2.5
NY,Cove Neck village,55521,87.5,11.9,96.2,0.3,0,1.4,4.9
NY,Coxsackie village,77738,97.1,7.5,93.7,2.6,0.2,0.9,4.5
NY,Cragsmoor CDP,109935,98,1.6,96.9,0.7,0,0.9,4.5
NY,Cranberry Lake CDP,46042,94.2,4.6,99.5,0,0.5,0,0
NY,Croghan village,54261,92.4,14.3,97.2,1,0,0.6,0.3
NY,Crompond CDP,53696,95.7,3.5,88,4.4,0,5.6,7
NY,Croton-on-Hudson village,62222,100,16.2,86.6,2.9,0.2,3.7,11.4
NY,Crown Heights CDP,(X),96.8,6.3,77.6,9.5,0.3,5.7,11
NY,Crugers CDP,(X),90.3,4.1,87.6,6.9,0,1.2,9.3
NY,Crystal Beach CDP,68125,91.7,15.5,97,1.2,0.2,0.8,4.3
NY,Cuba village,47063,88.2,3.2,97.4,0.7,0.3,0.3,1.7
NY,Cumberland Head CDP,66161,100,12,96.9,0.4,0.4,0.6,1.7
NY,Cumminsville CDP,80899,94.9,11.3,97.3,0,0,0.5,0
NY,Cutchogue CDP,48281,100,0,94.7,1.8,0,0.8,7.2
NY,Cuylerville CDP,42183,87.4,4,96.6,0,0.3,1.3,3.4
NY,Dalton CDP,51022,92.7,9.3,97.8,0.6,0,0,1.1
NY,Dannemora village,93077,83.3,7.1,52.2,41.9,0.7,0.5,13.3
NY,Dansville village,40025,79.8,7.5,95.8,1,0.3,0.8,2.2
NY,Davenport Center CDP,88125,92.7,6.1,98.9,0.6,0,0,0.6
NY,Deer Park CDP,104764,95.6,9,74.9,12,0.2,6.8,12.1
NY,Deferiet village,211250,86.9,19.6,92.5,3.1,1,1,1.7
NY,DeKalb Junction CDP,55625,93.2,17.9,98.8,0,0,0,1.3
NY,Delanson village,86250,94.7,3.5,97.3,0.3,0,0.3,1.3
NY,Delevan village,51500,88.7,24,97.5,0.3,0.4,0.9,0.4
NY,Delhi village,31625,86.2,8.4,85,8.1,0.4,1.9,7.4
