ShareRaceByCity
Geographic area,City,Median Income,percent_completed_hs,poverty_rate,share_white,share_black,share_native_american,share_asian,share_hispanic
AL,Midland City town,38750,87.5,10.9,70.4,23.3,0.5,0.4,4.1
AL,Midway town,68368,86.6,15.4,10.6,89,0,0,0.6
AL,Mignon CDP,39678,90.2,20.1,64.9,27.1,0.1,0.5,6.9
AL,Millbrook city,27163,79.3,31.5,74.2,21.6,0.4,0.8,2.8
AL,Millerville CDP,24514,58.3,43.1,91.7,7.6,0,0.7,0
AL,Millport town,32452,75.2,26,64.7,33.7,0.1,0,1
AL,Millry town,58330,91.3,11.6,60.4,37.9,0.5,0.2,0.4
AL,Minor CDP,24861,70.7,8.8,77.6,20.9,0.3,0,1.5
AL,Mobile city,32443,79.6,22.4,45,50.6,0.3,1.8,2.4
AL,Monroeville city,37813,86.1,26,42.1,55.7,0.3,0.3,0.8
AL,Montevallo city,45000,88.9,10.8,70.2,24.6,0.3,0.6,5.7
AL,Montgomery city,38776,86.9,23.3,37.3,56.6,0.2,2.2,3.9
AL,Moody city,30678,82.3,36.7,88.2,7.8,0.3,1.4,2.1
AL,Moores Mill CDP,34760,86.6,25.5,70.9,22.6,1.1,1.5,2.4
AL,Mooresville town,42927,85.5,24.1,94.3,5.7,0,0,0
AL,Morris town,61049,87.9,9.9,97.7,1,0.1,0.3,1.1
AL,Morrison Crossroads CDP,63911,91,11.1,92.7,2.3,0,0.5,5.5
AL,Mosses town,99375,83.1,0,1.5,97.9,0,0,1.8
AL,Moulton city,70043,84.9,5.8,78.2,13.1,4.1,0.4,1.6
